City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,missing_value_count,is_aqi_outlier,is_pm25_outlier,data_quality_score,year,month,day_of_week,is_weekend,aqi_lag_1,aqi_lag_7,aqi_rolling_mean_3,aqi_rolling_mean_7,pm25_lag_1,pm10_lag_1,next_day_aqi
Bengaluru,2015-03-28,40.0,77.36,2.93,17.99,11.36,28.74,8.07,2.5,44.65,0.14,8.39,,152.0,Moderate,2,False,False,90,2015,3,5,1,123.0,91.0,135.66666666666666,147.42857142857142,42.1,77.36,143.0
Bengaluru,2015-03-29,32.16,77.36,2.38,12.9,8.3,21.5,8.53,2.08,56.31,0.15,8.53,,143.0,Moderate,2,False,False,90,2015,3,6,1,152.0,120.0,139.33333333333334,150.71428571428572,40.0,77.36,80.0
Bengaluru,2015-03-30,30.78,77.36,2.68,16.23,14.63,26.96,1.46,2.63,49.52,0.14,2.07,,80.0,Satisfactory,2,False,False,90,2015,3,0,0,143.0,154.0,125.0,140.14285714285714,32.16,77.36,90.0
Bengaluru,2015-03-31,38.99,77.36,2.6,10.97,12.7,27.52,1.79,2.79,47.67,0.14,2.39,,90.0,Satisfactory,2,False,False,90,2015,3,1,0,80.0,119.0,104.33333333333333,136.0,30.78,77.36,151.0
Bengaluru,2015-04-01,36.42,77.36,2.68,8.83,9.13,31.37,9.6,3.17,48.25,0.14,8.16,,151.0,Moderate,2,False,False,90,2015,4,2,0,90.0,232.0,107.0,124.42857142857143,38.99,77.36,123.0
Bengaluru,2015-04-02,38.15,77.36,4.24,10.29,9.99,43.09,4.06,7.65,53.26,0.14,5.29,,123.0,Moderate,2,False,False,90,2015,4,3,0,151.0,132.0,121.33333333333333,123.14285714285714,36.42,77.36,178.0
Bengaluru,2015-04-03,35.11,77.36,2.63,5.99,6.82,26.04,5.34,2.32,57.75,0.14,7.4,,178.0,Moderate,2,True,False,75,2015,4,4,0,123.0,123.0,150.66666666666666,131.0,38.15,77.36,101.0
Bengaluru,2015-04-04,36.68,77.36,3.63,12.89,10.88,40.71,1.47,3.29,76.36,0.13,1.61,,101.0,Moderate,2,False,False,90,2015,4,5,1,178.0,152.0,134.0,123.71428571428571,35.11,77.36,160.0
Bengaluru,2015-04-05,36.92,77.36,2.2,9.0,7.6,26.22,9.58,4.07,65.62,0.14,12.02,,160.0,Moderate,2,False,False,90,2015,4,6,1,101.0,143.0,146.33333333333334,126.14285714285714,36.68,77.36,71.0
Bengaluru,2015-04-06,31.78,77.36,2.48,8.14,8.06,22.34,0.55,7.22,54.31,0.18,0.28,,71.0,Satisfactory,2,False,False,90,2015,4,0,0,160.0,80.0,110.66666666666667,124.85714285714286,36.92,77.36,76.0
